,Downloaded,pos_x,pos_y,pos_z,cm_x,cm_y,cm_z,mass,sfr,halfmassrad,m_stars,Z_gas,m_gas
359007,0,26424.0,24801.8,8223.83,26422.8,24801.4,8220.0,40.5133,8.70079,60.7755,1.46548,0.0215949,3.55122
359215,0,17182.5,27785.4,24998.5,17176.0,27790.3,24991.7,38.6681,7.44165,51.9966,1.73885,0.0304926,3.87893
359361,0,16753.1,4304.28,9005.18,16729.4,4306.74,9012.77,34.7546,6.83028,60.7834,0.818148,0.0118118,4.8672
359576,0,8840.66,27977.5,24403.4,8838.68,27977.4,24398.4,38.009,5.00171,63.3981,1.32032,0.0268738,4.07036
359805,0,29572.5,34771.3,22699.9,29576.6,34767.8,22698.1,41.3206,4.67192,62.6242,1.27968,0.0184943,3.88961
360080,0,20442.0,27908.8,25090.6,20432.3,27905.7,25099.9,30.5039,4.71903,59.8603,0.742903,0.0256175,3.77601
360470,0,15884.1,25131.5,32718.4,15881.9,25129.8,32720.6,37.7268,7.29238,54.6739,1.0356,0.0159647,4.27717
360702,0,6872.34,23312.8,16753.7,6871.34,23311.5,16753.1,39.1443,7.08112,43.5453,1.90478,0.0291109,3.38243
360812,0,3034.67,11026.7,1419.73,3027.43,11032.1,1402.16,35.3289,7.18515,58.9786,1.58634,0.0321164,2.6003
360989,0,21828.3,17601.8,19156.0,21827.5,17597.3,19166.9,31.8302,4.6862,65.3292,0.720542,0.0242778,4.08452
361327,0,11607.2,7617.33,28075.8,11610.5,7621.76,28079.7,38.5025,7.93986,54.7442,1.30216,0.021902,3.91622
361569,0,21767.6,11316.5,20374.4,21765.7,11319.9,20372.1,34.8776,6.79276,65.0409,0.756494,0.0171785,4.55189
361938,0,19272.8,16017.2,2470.19,19275.5,16005.2,2468.52,37.2239,4.62371,58.6277,1.23729,0.0210477,3.74924
362162,0,34477.8,12321.1,12149.7,34481.0,12309.3,12146.8,34.3021,7.69583,57.4315,0.773584,0.012778,4.59079
362340,0,21100.9,21350.9,14163.1,21100.2,21350.9,14164.9,38.0666,7.25259,64.99,0.625558,0.0140505,4.50967
362630,0,28932.1,12841.8,30251.5,28942.7,12851.9,30277.4,35.6238,3.34787,66.5279,0.3412,0.009113,4.57395
362931,0,20770.3,20601.9,13818.0,20774.1,20605.5,13819.5,38.1894,5.63669,47.9386,2.04532,0.0283721,2.69929
363059,0,24111.7,17269.8,32462.1,24110.5,17266.4,32460.7,38.7579,9.2544,52.8478,1.53376,0.0227649,3.30905
363245,0,22312.8,17744.4,1003.88,22310.5,17746.6,997.95,38.5214,6.09947,52.4376,1.35013,0.0190171,3.56436
363500,0,12352.5,21435.2,17071.7,12353.3,21433.0,17082.8,18.4946,2.99063,51.5705,0.2909,0.0113929,2.76349
